order_date_col,order categorical feature 1,order categorical feature 2,order categorical feature 3,join_col
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6633,order categorical feature 3 #498,5927
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6633,order categorical feature 3 #366,113
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1347,order categorical feature 3 #283,3698
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8635,order categorical feature 3 #318,9616
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8042,order categorical feature 3 #414,6123
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3768,order categorical feature 3 #400,9430
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6885,order categorical feature 3 #400,4540
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2059,order categorical feature 3 #416,2130
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2059,order categorical feature 3 #61,4027
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2059,order categorical feature 3 #17,7332
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6875,order categorical feature 3 #122,5271
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2365,order categorical feature 3 #391,9409
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #799,order categorical feature 3 #39,6510
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1126,order categorical feature 3 #334,5374
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8197,order categorical feature 3 #231,1807
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1287,order categorical feature 3 #20,6254
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7154,order categorical feature 3 #173,1865
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7154,order categorical feature 3 #314,8623
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #4877,order categorical feature 3 #306,97
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #4877,order categorical feature 3 #191,5114
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3511,order categorical feature 3 #332,3451
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3511,order categorical feature 3 #187,6777
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1788,order categorical feature 3 #285,252
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1788,order categorical feature 3 #291,1478
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1938,order categorical feature 3 #464,3226
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #4243,order categorical feature 3 #254,2839
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3025,order categorical feature 3 #461,9311
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1966,order categorical feature 3 #300,6671
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1966,order categorical feature 3 #443,8345
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2805,order categorical feature 3 #414,5661
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8185,order categorical feature 3 #280,1173
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7918,order categorical feature 3 #317,8295
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #4825,order categorical feature 3 #105,7101
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #244,order categorical feature 3 #477,9176
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7908,order categorical feature 3 #443,2929
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2983,order categorical feature 3 #443,7109
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8675,order categorical feature 3 #13,9726
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8675,order categorical feature 3 #176,9026
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6106,order categorical feature 3 #104,8750
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1732,order categorical feature 3 #300,1111
